Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"347"	"GLIS1"	"468.7"	"ARCHS4 Coexpression,39;Enrichr Queries,1342;GTEx Coexpression,25"	"ZBTB47,CD109,NT5DC2,LAMC1"
"gene_set_query"	"348"	"TCF7"	"468.8"	"Literature ChIP-seq,7;ARCHS4 Coexpression,1139;Enrichr Queries,493;ReMap ChIP-seq,66;GTEx Coexpression,639"	"ID2,ID1,SNAI1,SH3BP5,PHACTR2,ABHD6,LAMC1,PLXNC1,CLU"
"gene_set_query"	"349"	"HOXD4"	"469.0"	"ARCHS4 Coexpression,55;Enrichr Queries,1318;GTEx Coexpression,34"	"ID1,SH3BP5,LAMC1"
"gene_set_query"	"350"	"EVX1"	"470.0"	"ARCHS4 Coexpression,553;Enrichr Queries,845;GTEx Coexpression,12"	"ID1,SNAI1,PHACTR2"
"gene_set_query"	"351"	"MYCN"	"470.4"	"Literature ChIP-seq,78;ARCHS4 Coexpression,502;Enrichr Queries,310;ReMap ChIP-seq,136;GTEx Coexpression,1326"	"ID2,PLK2,NT5DC2,ID1,PLXNC1"
"gene_set_query"	"352"	"INSM1"	"472.0"	"ARCHS4 Coexpression,494;Enrichr Queries,694;GTEx Coexpression,228"	"ID2,PLXNC1,RTL5"
"gene_set_query"	"353"	"NR4A2"	"472.8"	"Literature ChIP-seq,56;ARCHS4 Coexpression,382;Enrichr Queries,211;GTEx Coexpression,1242"	"PLK2,ID2,ID1,CLU,ADGRL3"
"gene_set_query"	"354"	"BACH2"	"473.0"	"ARCHS4 Coexpression,667;Enrichr Queries,333;ReMap ChIP-seq,198;GTEx Coexpression,694"	"ID2,SH3BP5,PHACTR2,PLXNC1"
"gene_set_query"	"355"	"HOXC9"	"473.3"	"Literature ChIP-seq,112;ARCHS4 Coexpression,316;Enrichr Queries,606;GTEx Coexpression,859"	"ID2,ID1,HSPA2"
"gene_set_query"	"356"	"HOXB6"	"475.0"	"ARCHS4 Coexpression,387;Enrichr Queries,88;GTEx Coexpression,950"	"PLK2,ID2,NT5DC2,ID1,CLU"
"gene_set_query"	"357"	"SNAPC2"	"476.0"	"ARCHS4 Coexpression,737;GTEx Coexpression,215"	"STON1"
"gene_set_query"	"358"	"MYOD1"	"476.2"	"ARCHS4 Coexpression,306;ENCODE ChIP-seq,15;Enrichr Queries,565;ReMap ChIP-seq,202;GTEx Coexpression,1293"	"ZBTB47,ID1,SNAI1,STON1"
"gene_set_query"	"359"	"CSRNP1"	"476.5"	"ARCHS4 Coexpression,534;GTEx Coexpression,419"	"SNAI1"
"gene_set_query"	"360"	"HOXC5"	"478.0"	"ARCHS4 Coexpression,453;Enrichr Queries,905;GTEx Coexpression,76"	"NT5DC2,SNAI1,LAMC1"
"gene_set_query"	"361"	"ZNF286A"	"478.0"	"ARCHS4 Coexpression,131;Enrichr Queries,87;GTEx Coexpression,1216"	"PLK2,ID2,ID1,PHACTR2"
"gene_set_query"	"362"	"ZNF394"	"480.0"	"ARCHS4 Coexpression,54;Enrichr Queries,521;GTEx Coexpression,865"	"PLK2,ID2,NT5DC2,ID1,LAMC1"
"gene_set_query"	"363"	"SMAD1"	"480.2"	"Literature ChIP-seq,147;ARCHS4 Coexpression,1087;Enrichr Queries,29;ReMap ChIP-seq,230;GTEx Coexpression,908"	"PLK2,ID2,ID1,LAMC1,CLU"
"gene_set_query"	"364"	"ESRRG"	"480.3"	"ARCHS4 Coexpression,582;Enrichr Queries,755;GTEx Coexpression,104"	"CYP2S1,PLXNC1,ADGRL3"
"gene_set_query"	"365"	"ZNF467"	"480.7"	"ARCHS4 Coexpression,723;Enrichr Queries,326;GTEx Coexpression,393"	"ID2,ID1,PLXNC1,CLU"
